Division,Zona,Status,Numero,Anio,Mes,Area,Ciudad,SE,Circuito,Fecha_Inici,Fecha_Term,Hora_Ini,Hora_Term,Demanda,Usuario,Ramal,PUR,Material,Causa,Entidad,Proceso,Continuada,DEMUA,Duracion,TIU,Usuario_Promedio,TLU_Real,EDV,Afectacion,Tipo_Tramo,Tramo_Trocal,Tramo_Ramal,Atendido_Por,Con_Sin_Evento,Num_Evento,Falla_Renuante,Solicitud,Orden_Sicoss,Observaciones
DK,04,I,1737,2018,6,H,*,VFD,4020,2018.06.01,2018.06.01,09:56,10:30,16,64,F2229- 10 TE,100,D-279,D-125B,DISTRIBUCION,RED AEREA,N,2176,34,0.004073,534186,0.004073488,0.009,S,R,0,F2229- 10 TE,9B4YM,N,-1,N,-1,-,"%K0403254996 LIC-5135  (1-8/3) FASE ""B"". OPERA POR DESCARGA ATMOSFERICA EN LA RED DE MT , SE RESTABLECE EN 1a. PTE VILLAFORES CENTRO DE SALUD"
DK,04,I,1507,2018,6,H,*,VFD,4010,2018.06.01,2018.06.01,08:30,09:27,69,250,F2206-6 SUR,100,D-279,D-125B,DISTRIBUCION,RED AEREA,N,14250,57,0.026676,534186,0.026676102,0.066,S,R,0,F2206-6 SUR,9B4YM,N,-1,N,-1,K0403254946,"% K0403254946 LIC-5130, SE REPONEN (2-15/3) AISLAMIENTO FLAMEADO, A CAUSA DE DESCARGAS ATMOSFERICAS SOBRE LA LINEA DE MT, SE CAMBIA AISLADOR 13A, SE RESTABLECE EN 6A SUR PTE"
DK,04,I,1530,2018,6,F,*,GIA,4010,2018.06.01,2018.06.02,16:53,18:15,25,21,ZAPATA,100,D-228,D-133,DISTRIBUCION,RED AEREA,N,31962,1522,0.059833,534186,0.059833092,0.634,S,R,0,ZAPATA,9M933,N,-1,N,-1,K0403255212,"% K0403255212 LIC-5217 (1-12/3)  F-B, OPERA A CAUSA DE FALSO CONTACTO EN CONECTOR, SE RESTABLECE EN EJIDO 26 DE OCTUBRE CARR E ZAPATA"
DK,04,I,1508,2018,6,G,G,TGU,4020,2018.06.01,2018.06.01,07:24,11:25,60,59,F0069-SISIDR,0,D-279,D-125B,DISTRIBUCION,RED AEREA,N,14219,241,0.026618,534186,0.026618069,0.241,S,R,0,F0069-SISIDR,9DY7G,N,-1,N,-1,K0403254933,"% K0403254933, LIC-5136 (1-65/3) FASE C, AISLAMIENTO FLAMEADO, POR FUERTES LLUVIAS Y DESCARGAS ATMOSFERICA SOBRE LA LINEA DE MT, SE EALIZA CAMBIO DEL AISLADOR 13A, SE RESTABLECE EN SECC SAN ISIDRO, RAMAL SAN MARTIN."
DK,04,I,1541,2018,6,I,*,CIT,4040,2018.06.02,2018.06.02,19:00,22:00,58,86,ZAPATA,100,D-228,D-133,DISTRIBUCION,RED AEREA,N,15480,180,0.028979,534186,0.02897867,0.174,S,R,0,ZAPATA,9MNTB,N,-1,N,-1,K0403255403,"% K0403255403, LIC-5223 (3-12/3) OPERA POR LA CAUSA DE FALSO CONTACTO EN PUENTES DE LA MT, SE RESTABLECE EN COL. EMILIANO ZAPATA"
DK,04,I,1540,2018,6,I,*,CIT,4030,2018.06.02,2018.06.02,11:53,19:30,56,46,CENTRO JIQ3A,100,D-228,D-145,DISTRIBUCION,RED AEREA,N,21022,457,0.039353,534186,0.039353334,0.426,S,R,0,CENTRO JIQ3A,9MNTB,N,-1,N,-1,K0403255327,"% K0403255327 LIC-5222 (1-8/3) FASE A, OPERA POR PALOMA  QUE PEGA CON PUENTES DE M.T, SE RESTABLECE EN 3A OTE NTE NO. 24 JIQUIPILAS."
DK,04,I,1546,2018,6,G,G,TGD,4020,2018.06.02,2018.06.02,09:43,13:20,120,55,F0288-PEÑITA,0,D-228,D-133,DISTRIBUCION,RED AEREA,N,11935,217,0.022342,534186,0.022342405,0.434,S,R,0,F0288-PEÑITA,9DY7V,N,-1,N,-1,K0403255311,"% K0403255311 LIC- 5202 (1-12/1) OPERA POR FALSO CONTACTO EN EL PUENTE DE MT, SE RESTABLECE EN COL: LAS PALMAS U"
DK,04,I,1625,2018,6,H,*,IPD,4020,2018.06.02,2018.06.02,10:47,21:08,12,31,F2290-PALEST,100,D-242,D-125A,DISTRIBUCION,RED AEREA,N,19251,621,0.036038,534186,0.036038009,0.124,S,R,0,F2290-PALEST,9MNTE,N,-1,N,-1,-,"% K0403255317; LIC. 5204, LINEA ROTA FASE ""B"", DESCARGA ATMOSFERICA LINEA ROTA, SE REAPARA LINEA ROTA, INSTALA CRUCETA Y REPONE ABRAZADERA, REPONE PUNTA POSTE Y TENSIONA CONDUCTOR 10 CLAROS; PALESTINA - ANGEL ALBINO CORZO."
DK,04,I,1549,2018,6,G,G,TXN,4060,2018.06.03,2018.06.03,16:05,17:27,63,155,F0695-.PASO,0,D-228,D-133,DISTRIBUCION,RED AEREA,N,12710,82,0.023793,534186,0.023793211,0.086,S,R,0,F0695-.PASO,9FB76,N,-1,N,-1,K0403255468,"% K0403255468 LIC-5250 (1-8/3) FASE A, OPERA POR UN FALSO CONTACTO EN LA TERMINAL DEL CCF, SE RESTABLECE EN C BEGONIA M24 L5 PASO LIMON."
DK,04,I,1551,2018,6,F,*,GIA,4010,2018.06.03,2018.06.03,09:51,14:20,49,43,SALIDA JULIA,100,D-228,D-145,DISTRIBUCION,RED AEREA,N,11567,269,0.021654,534186,0.021653506,0.22,S,R,0,SALIDA JULIA,9L0D8,N,-1,N,-1,K0403255429,"% K0403255429 LIC-5244 (1-8/3) FASE C, OPERA CAUSA DE AVE QUE CHOCA EN LA RED D MT, SE RESTABLECE EN KM 12.48 TRAM CARR VERGEL-APTO"
