D-101,FALLA DE PRODUCTO EQUIPO DE PROT-SECC,
D-102,FALLA DE PRODUCTOEQUIPO REGULADOR,
D-103,FALLA DE PRODUCTO AISLAMIENTO,
D-104,FALLA PRODUCTO CONDUCTORES,
D-105,FALLA PRODUCTO CORTACIRCUITOS,
D-106,FALLA DE CIRCUITO APARTARAYOS,
D-107,FALLA DE PRODUCTO HERRAJES Y ACCESORIOS ,
D-108,FALLA DE PRODUCTOS OTROS EQUIPOS ,
D-110,FRENTE FRIO,
D-111,DISENO INADECUDADO DE INSTALACION,
D-112,ERRORES DE CONSTRUCCION  POR TERCEROS,
D-113,MANO DE OBRA DEFECTUOSA MANTENIMIENTO,
D-114,MANIOBRA ERRONEA EN MANTENIMIENTO,
D-115,LIBRAMIENTO INAD. CON OTRAS INSTALACIONES ,
D-116,AMARRRE INADECUADO ,
D-116T,AMARRRE INADECUADO (TRANSITORIO),
D-119,FRENTE FRIO NO. 18,
D-119A,FRENTE FRIO 9,
D-119B,FRENTE FRIO NO.36,
D-119C,ONDA TROPICAL 32 Y 33,
D-119D,FRENTE FRIO 9,
D-119E,FRENTE FRIO NO.28,
D-120,TROMBA,
D-121,HURACAN O CICLON,
D-121T,HURACAN O COCLON(TRANSITORIO),
D-122,TORNADO,
D-122T,TORNADO(TRANSITORIO),
D-123,VIENTOS FUERTES,
D-123A,VIENTOS ALFILER DOBLADO,
D-123B,VIENTOS CRUCETA QUEBRADA,
D-123C,VIENTOS POSTE DESPLOMADO,
D-123D,VIENTOS CRUCETA LADEADA,
D-123E,VIENTOS PUENTE SUELTO,
D-123G,VIENTOS FALLAS EN INSTALACION PARTICULAR ,
D-123H,VIENTOS EMPALME,
D-123J,VIENTOS LINEA FLOJA,
D-123K,VIENTOS CLARO EXCESIVO,
D-123L,VIENTOS LINEA CAIDA,
D-123M,VIENTOS RAMA SOBRE LINEA,
D-123N,VIENTOS OBJETOS EXTRANIOS,
D-123P,VIENTOS CRUCE DE LINEAS ,
D-123Q,VIENTOS POSTES CAIDOS ,
D-123R,VIENTOS  AMARRE SUELTO,
D-123T,VIENTOS FUERTES DEL 22 DE OCTUBRE DE 2007,
D-124,TORMENTA,
D-124A,TORMENTA LINEA CAIDA,
D-124B,TORMENTA RAMA SOBRE LINEA ,
D-124C,TORMENTA OBJETOS EXTRANOS,
D-124D,TORMENTA CRUCE DE LINEAS ,
D-124E,TORMENTA POSTES CAIDOS ,
D-124F,TORMENTA AMARRE SUELTO,
D-124G,TORMENTA ALFILER DOBLADO,
D-124H,TORMENTA CRUCETA QUEBRADA ,
D-124J,TORMENTA POSTE DESPLOMADO,
D-124K,TORMENTA CRUCETA LADEADA,
D-124L,TORMENTA PUENTE SUELTO,
D-124M,TORMENTA RETENIDA SUELTA,
D-124N,TORMENTA FALLA EN INST. PARTICULAR,
D-124P,TORMENTA EMPALME,
D-124Q,TORMENTA CLARO EXCESIVO,
D-124R,TORMENTA AISLADOR ROTO,
D-124S,TORMENTA APARTARRAYOS DANADOS  ,
D-124T,TORMENTA FALSO CONTACTO,
D-124U,TORMENTA PUENTE ABIERTO,
D-124V,TORMENTA CRUCETA QUEMADA,
D-124W,TORMENTA CONTAMINACION ,
D-124X,TORMENTA INUNDACION,
D-124Y,TORMENTA LINEA FLOJA ,
D-125,DESCARGAS ADMOSFERICA,
D-125A,DESC. ATMOSF. LINEA ROTA ,
D-125B,DESC.ATMOSF. AISLADOR FLAMEADO ,
D-125C,DESC. ATMOSF.AISLADOR QUEBRADO,
D-125E,DESC. ATMOSF. APARTARRAYO DANADO ,
